Vocal,Learn,Test,Wrong,Mymeaning,Meaning,Addon1,Addon2,Addon3
prototype,,,,,n. 原型 an original model on which something is patterned, tested the prototype of the vehicle 测试车辆原型, archetype,
naive,,,,,"adj. 天真纯朴的 lacking worldly experience and understanding, simple and guileless", a child with a naive charm 天真无邪的孩子," artless, guileless, ingenuous, innocent",
rationale,,,,,n. 理由 a set of reasons, the rationale behind the changes 变革之后的理由, explanation,
nepotistic,,,,,adj. 任人唯亲的 favor relatives or friends especially by giving them jobs,The ruling party is nepotistic and corrupt. 执政党任人唯亲、贪污腐败。,cronyism,
lucrative,,,,,adj. 有利可图的 producing wealth, inherit a lucrative business 继承了一家赚大钱的公司,"profitable, remunerative",
contagious,,,,,adj. 有感染力的 exciting a similar feeling, Laughing is contagious. 笑是有感染力的。," catching, spreading, epidemic",
debut ｜/deɪˈbju：,,,,,n. 出道，处女秀 a first public appearance, debut match 首场比赛," inauguration, premiere",
snag,,,,,n. 小困难 an unexpected difficulty,hit a snag 出现小问题,"pitfall, hitch",
flout,,,,,v. 蔑视 treat with contemptuous disregard,flout the law 蔑视法律,"despise, disregard, scorn, defy",
downplay,,,,,v. 不予重视 minimize the significance of,downplay the significance of the security 不重视安全的重要性,"de-emphasize, understate, soft-pedal",
arcane,,,,,adj. 难懂的 difficulty to understand,the arcane language of the law 难懂的法律语言,"esoteric, obscure, recondite, opaque, impenetrable",
deify,,,,,adj. 崇拜，把……奉为神明 be greatly valued,Kris was virtually deified by female fans. 凡凡实际上被女粉神化了。,"dignify, canonize, venerate",
erroneous,,,,,adj. 错误的 characterized by error,an erroneous notion 错误观念,"inexact, unsound, mistaken, invalid",
scenic,,,,,adj. 风景优美的 having beautiful natural scenery,a region of scenic beauty 景色优美的地区,"picturesque, spectacular",
anomalous,,,,,adj. 反常的 different from what is usual,a highly anomalous situation 极其反常的形势,"aberrant, abnormal, atypical, peculiar",
opportunistic,,,,,adj. 投机的 making use of an opportunity to gain money or power,opportunistic practice 投机行为,,
cagey,,,,,adj. 不愿意说的/有戒心的 not wanting to give information 有戒心的,He is cagey about what he was paid for the business.他不愿说出在这桩生意中挣了多少。,,
extraneous,,,,,adj. 不重要的，不相关的 having no importance,extraneous matter 不重要的事,irrelevant,
deliberate,,,,,adj./v. 深思熟虑的 decide on as a result of careful thought, a deliberate decision 一个深思熟虑的决定," ponderous, measured, thoughtful",
pugnacious,,,,,adj. 好斗的 having a quarrelsome or combative nature, a pugnacious and irritable professor 好斗且易怒的教授," irascible, belligerent, truculent",
caricature,,,,,n. 讽刺歪曲手法的漫画 exaggeration by means of ludicrous distortion,,caricatures of politicians 政治人物的讽刺画,
balloon,,,,,v. 迅速增加 to increase rapidly, the use of computers has ballooned 电脑的使用量迅速增长," burgeon, mushroom, snowball, wax",
weather,,,,,v. 安全渡过（危机等）, they weathered a terrible storm while at sea 他们在海上平安渡过了一场巨大的风暴,,
founder,,,,,v. 完败 to fail completely, the theater company foundered after its corporate funding dried up 在其基金用尽之后，这个, collapse,
transport,,,,,n. 狂喜 a state of overwhelming usually pleasurable emotion, be in a transport of delight 欣喜若狂," ecstasy, euphoria, rhapsody",
pan,,,,,v./n. 严厉批评 a harsh criticism, almost all the movie critics have panned this latest sequel in a tired series 几乎所有的影评家都," censure, condemn, denounce, reprehend",
coin,,,,,v. 创造（新词或短语） invent or devise (a new word or phrase), William Shakespeare is believed to have coined many words 莎士比亚被认为创造了许多新词,,
champion,,,,,v. 支持 to support, champion the cause of civil rights 支持民权事业," advocate, endorse, patronize",
assume,,,,,v. 承担 take on oneself, assume responsibility 承担责任," undertake, shoulder",
betray,,,,,v. 流露 to show feelings that you are trying to hide, his voice betrayed his nervousness 他的声音暴露了他的紧张," bespeak, demonstrate, evince",
arrest,,,,,v. 阻止 to stop a process, science cannot yet arrest the process of aging 科学不能阻止衰老,, arresting adj.有吸引力的
stomach,,,,,v. 容忍 to bear without overt reaction or resentment, I can’t stomach his bragging 我受不了他自吹自擂了," abide, brook, countenance, endure",
court,,,,,v. 追求，献殷勤 to seek the affections of, court the young lady by bring her flowers every day 通过每天给年轻女孩送花追求女孩," woo, pursue",
qualify,,,,,v. 限制 to limit the meaning of, qualified support 有保留的支持,,
license,,,,,n. 许可 freedom of action, military commanders on the ground must be granted considerable license 战地指挥官应该被赋," latitude, liberty",
pedestrian,,,,,"adj. 平庸无奇的 causing weariness, restlessness, or lack of interest/行人", a painting that is pedestrian and unimaginative 乏味又缺乏想象力的画作," dreary, jejune, monotonous, tedious, tedious",
flag,,,,,"v. 变得衰弱 to become unsteady, feeble, or spiritless", enthusiasm flags 热情下降," decay, languish, fade, wilt",
list,,,,,v. 倾斜 to set or cause to be at an angle, listed the ship 船倾斜了," slant, lean, slope, tilt",
sound,,,,,adj. （逻辑上）严谨的，合理的 based on valid reasoning, a sound investment 合理的投资," rational, reasonable, well-founded",
bent,,,,,n. 天赋，特别的爱好 special natural skill or interest in a particular area, readers of a more literary bent 文学天赋较高的读者," inclination, penchant, predilection, propensity",
check,,,,,v. 阻止 to stop or slow down the progress of, check the spread of the disease 抑制疾病的蔓延," arrest, bridle, brake, curb",
husband,,,,,v.勤俭持家 to use sparingly or economically, husband precious resources 节约使用珍贵资源," budget, conserve, economize",
rail,,,,,"vi. 怒骂，猛烈抨击 to revile or scold in harsh, insolent, or abusive language", rail against the injustice of it all 怒骂此事不公正," castigate, chastise, lambaste, upbraid",
row,,,,,n./v. 争吵 quarrel, family rows 家庭争吵,,
cow,,,,,v. 恐吓 to frighten someone in order to make them obey you, cow into submission 恐吓到屈服," browbeat, intimidate, bully",
dense,,,,,adj. 难以理解的 difficult to understand, a dense piece of writing 难懂的文章," abstruse, elusive, esoteric, inaccessible, arcane",
consonant,,,,,adj. 和谐一致的 being in agreement or harmony, consonant with the government’s declared aims 和政府宣称的目标一致," compatible, congruous",
green,,,,,adj. 没有经验的 have little experience,green hand 新手,"callow, unfledged",
windy,,,,,adj. 话多的，啰嗦的 full of words that are meaningless, a windy salesman 啰嗦的销售员," verbose, long-winded, garrulous, loquacious",
capsule,,,,,adj. 简短的 extremely brief/缴纳, a capsule review 简短的评论," pithy, concise, terse, succinct, laconic",
retired,,,,,adj. 隐蔽的 hidden from view, a retired village 隐蔽的村庄," isolated, secluded",
skirt,,,,,v. 躲避 to avoid or keep away from, skirt the construction zone 绕开建筑工地," bypass, circumvent, sidestep, dodge, shun",
august,,,,,adj. 威严的 having a formal and impressive quality, an august mansion 威严的大厦," imposing, solemn",
veil,,,,,v. 掩盖 to hide something, veil the hills 掩盖了群山," belie, mask, shroud, cloak",
complaint,,,,,n. 疾病 illness, a skin complaint 皮肤病," ailment, malady, condition",
entrance,,,,,v. 使入迷 to fill someone with delight and wonder, entranced with the performance 被表演迷住," enrapture, enthrall, ravish",
square,,,,,v. 符合，一致 to be in agreement, the explanation squares with the evidence 解释与证据相符," accord, conform",
accent,,,,,v. 强调 to emphasize, accent something’s vital role 强调某物的重要作用," accentuate, foreground, highlight",
dispatch,,,,,n. 快，迅速 promptness and efficiency in performance or transmission, do something with dispatch 迅速的做某事," alacrity, swiftness, expedition",
elephantine,,,,,"adj. 笨拙的 clumsy, ponderous",elephantine movements 笨拙的行动,"awkward, maladroit",
shrink,,,,,v. 退缩，缩小 to move back from something shocking or frightening, shrink from the challenge 在挑战面前退缩," quail, recoil, contract",
noxious,,,,,"adj. 产生强烈厌恶的 causing intense displeasure, disgust, or resentment",a noxious smell of burning sugar 糖烧焦的让人厌恶的气味,"disgusting, noisome, repugnant",
prostrate,,,,,v. 使衰竭 to reduce to extreme weakness or incapacitation,illness that prostrated an entire family 将整个家族拖垮的疾病,"debilitate, enervate, enfeeble, sap",
gratuitous,,,,,adj. 无报酬的，免费的 given or granted without return or recompense,a gratuitous ticket 免费的门票,complimentary,
immune,,,,,adj.不受影响的 not affected by a given influence,immune to persuasion 不听劝,"insusceptible, unaffected, unresponsive",
self-effacing,,,,,adj. 谦逊的 modest," a shy, self-effacing person 腼腆谦逊的人"," humble, unassuming, unpretentious",
state-of-the-art,,,,,adj. 技术先进的 the level reached at modern methods, state-of-the-art technology 先进的技术,,
well-to-do,,,,,adj. 土豪的，富裕的 having more than adequate resources,well-to-do families 富贵之家," affluent, flush, opulent",
rank-and-file,,,,,adj. 一般大众的 not distinguished,rank-and-file positions 基层工作岗位,"common, plebeian",
avant-garde,,,,,adj. 先锋派的 extremely modern and often seems strange or slightly shocking, a controversial avant-garde composer 一位颇有争议的先锋派作曲家," cutting-edge, progressive, pioneering",
off-putting,,,,,adj. 令人讨厌的 not pleasant, his scar is somewhat off-putting 他的伤疤令人讨厌," disconcerting, repellent",
self-abasement,,,,,n. 自卑 degradation or humiliation of oneself, get rid of my self-abasement 消除了自卑感,,
much-ballyhooed,,,,,"adj. 大肆炒作的 claim something is very good, exaggerated", a much-ballyhooed new film 大肆炒作的新电影,,
topsy-turvy,,,,,adj. 混乱的 lacking in order/颠倒的, a topsy-turvy room 混乱的房间," willy-nilly, chaotic, tumultuous, higgledy-piggledy, unkempt",
self-perpetuating,,,,,adj. 自续的，使自身永存的 continuing or without any external intervention, self-perpetuating economic declines 持续存在的经济衰退,,
ad hoc,,,,,adj. 专门的 concerned with a particular end or purpose, an ad hoc investigating committee 一个专门的调查委员会, specific,
big-hearted,,,,,adj. 慷慨善良的 kind and generous to other people, a big-hearted woman 一位善良的女子,,
quip,,,,,n. 段子，俏皮话 something said to cause laughter, smart quips 机智的段子,drollness,
timely,,,,,adj. 合乎时宜的 appropriate to the times or the occasion,timely invitation 合乎时宜的邀请,"opportune, well-timed",
caterwaul/waul,,,,,v. 嚎叫 to make a very loud and unpleasant sound/痛哭，哇哇叫,shrieking and caterwauling in mock distress 无助痛苦中的尖嚎,"shriek, scream, yelp",
flamboyant,,,,,adj. 艳丽夺目的，炫耀的 marked by strikingly elaborate,flamboyant dressing 炫耀的着装,"florid, ornate, ostentatious",
peddle,,,,,v. 兜售 to sell from place to place usually in small quantities,peddle fruits and vegetables 沿街兜售果蔬,,
naysayer,,,,,n. 唱反调的人 a person who habitually expresses negative views,Give up being a naysayer. 不要成为杠精,"cynic, misanthrope, pessimist",
scrupulous,,,,,adj. 正直的 in accordance with one’s sense of right and wrong; principled,less scrupulous companies 道德程度略低的公司,"conscionable, ethical",
scrupulous,,,,,"adj. 一丝不苟的 taking, showing, or involving great care and effort",require scrupulous attention to detail 需要对细节一丝不苟," conscientious, meticulous",
chic,,,,,adj. 时髦的，潮的 being in current fashion,a chic new hairstyle 一个时髦的发型,"modish, trendy, voguish",
rosy,,,,,adj. 乐观的 having qualities which inspire hope,a rosy view 乐观的看法,"sanguine, heartening, optimistic, promising",
trivial,,,,,adj. 不重要的 unimportant and not serious,trivial problems 无关紧要的麻烦,"inconsequential, trifling, negligible",
encyclopaedic,,,,,adj. 全面的，百科全书式的 covering everything or all important points,museums should be encyclopaedic 博物馆应当是百科全书式的,"comprehensive, exhaustive, thorough",
counterintuitive,,,,,adj. 违反直觉的 contrary to what common sense would suggest,counterintuitive results 违反直觉的结果,,
imminent,,,,,adj. 即将发生的 almost certain to happen very soon, imminent danger 即将发生的危险," impending, approaching",
articulate,,,,,v. 清楚地表达 express ideas or feelings clearly in words, articulate the unhappiness 清晰地表达痛苦,enunciate,
affinity,,,,,n. 喜欢，倾向 a habitual attraction to some activity or thing,have an affinity for nurturing living things 喜欢养一些活物,"bent, penchant, predication, proclivity",
affinity,,,,,n. 相似 the fact or state of having something in common,share obvious affinities 有明显的相似性,,
hindsight,,,,,n. 事后聪明 the ability to understand something after it has happened, in hindsight 事后回想起,,
intrude,,,,,v. 闯入 to come into a place or situation, intrude on this peaceful place 闯入宁静的地方, invade,
cliquish,,,,,adj. 小集团的 bound together of very close association,cliquish gossip 小集团的流言,clannish,
chokehold,,,,,n. 压制 a force that stops something from growing or developing,had a chokehold on the city’s finances 压制城市的财政,,
consilience,,,,,n. 融合 the linking together of principles from different disciplines,consilience of inductions 归纳的融合,,
doom,,,,,v. 注定（倒霉）to determine the fate of suffering in advance, doomed to failure 注定失败," predestine, predetermine",
entail,,,,,v. 牵连，导致 involves or causes, entail a huge political risk 导致一个巨大的政治风险,,
expediency,,,,,n. 应急手段，权宜之计 doing what is convenient rather than what is morally right, a matter of expediency 权宜之计, makeshift,
gleam,,,,,v. 闪光 to shoot forth bursts of light, fine china gleaming in the candlelight 精美的瓷器在烛光下闪闪发光," glisten, scintillate, sparkle, twinkle",
glean,,,,,v. 收集 to collect bit by bit, glean knowledge 收集信息," amass, garner",
grimy,,,,,adj. 肮脏的 not clean,grimy mirror 镜子太脏,"besmirched, muddy, sordid, stained",
poignant,,,,,adj. 令人感伤的 causing a strong feeling of sadness,a poignant story 一个令人感伤的故事,,
pushover,,,,,n. 容易做的工作 something that is easy to do, GRE is not a pushover to crack. GRE 不是一件容易攻克的事。,,
pecuniary,,,,,"adj. 金钱上的 of or relating to money, banking, or investments", pecuniary loss in the snow disaster 在雪灾中所蒙受的金钱损失," fiscal, financial",
retroactive,,,,,adj. 有追溯效力的 extending in scope or effect to a prior time, retroactive law 具有追溯效力的法律,,
repetitious,,,,,adj. 重复的，反复的 repeated many times and therefore boring, a painfully repetitious task 一项痛苦不断重复的任务, repetitive,
sanity,,,,,n. 心智健全，神志正常 the normal or healthy condition of the mental abilities, preserve one’s sanity 保持神志正常,,
stagnant,,,,,adj. 停滞不前的 not advancing or developing, stagnant water 死水,,
venue,,,,,n. 场地 the area or space occupied by or intended for something, a perfect venue 最佳场所," location, site, spot",
bureaucratic,,,,,adj. 官僚主义的 involving complicated rules and procedures which can cause long delays, a bureaucratic nightmare 官僚主义的噩梦, governmental,
warble,,,,,"v. 柔和地唱歌 to sing with trills, runs, or other melodic embellishments", bird continued to warble 鸟儿继续歌唱, croon,
susceptible,,,,,adj. 容易受伤害的 being in a situation where one is likely to meet with harm, susceptible to depression 受到沮丧情绪的影响," endangered, vulnerable",
prognosis,,,,,n. 预兆 a declaration that something will happen in the future,a gloomy prognosis for economic recovery 经济复苏的黯淡预兆,"augury, foretelling, prediction, prophecy",
premium,,,,,adj. 高端优质的 of superior quality or value,premium coffee 优质的咖啡,,
inconclusive,,,,,adj. 没有定论的 not showing that something is certainly true, inconclusive vote 无定论的表决, indecisive,
histrionic,,,,,"adj. 夸张做作的 dramatic, exaggerated, and insincere", a histrionic debate 做秀似的辩论," melodramatic, theatrical",
befuddle,,,,,v. 使困惑 to throw into a state of mental uncertainty, his befuddled manner 令人困惑的举动," baffle, muddle, perplex, puzzle",
ironic,,,,,adj. 有讽刺意味的，出乎意料的 the opposite of what is expected happens, ironic twist 出乎意料的转折,,
commencement,,,,,n. 开始 a beginning, at the commencement of the conference 在会议开始的时候," onset, genesis, inception",
单词,,,,,释义,例句,近义词,派生词
partisan,,,,,adj.有偏见的 inclined to favor one side over another, a shamelessly partisan news report 一篇无耻的有偏见的新闻报道," biased, partial, prejudiced",
unkempt/kempt,,,,,adj. 凌乱的，无序的 lacking in order or cleanness/整洁的, unkempt hotel rooms 凌乱的酒店房间," slovenly, chaotic, untidy, topsy-turvy",
